chr	strand	gene
chr1	+	ARHGEF10L
chr1	+	ACTL8
chr1	+	IGSF21
chr1	+	KLHDC7A
chr1	+	PAX7
chr1	-	TAS1R2
chr1	-	ALDH4A1
chr1	-	IFFO2
chr1	-	UBR4
chr1	-	EMC1
chr1	+	MRTO4
chr1	-	AKR7A3
chr1	-	AKR7A2
chr1	+	SLC66A1
chr1	-	CAPZB
chr1	+	NBL1+MICOS10-NBL1+MICOS10
chr1	+	HTR6
chr1	-	TMCO4
chr1	-	RNF186
chr1	+	OTUD3
chr1	-	PLA2G2E
chr1	-	PLA2G2A
chr1	+	PLA2G5
chr1	-	PLA2G2D
chr1	+	PLA2G2F
chr1	-	PLA2G2C
chr1	+	UBXN10
chr1	+	VWA5B1
chr1	-	CAMK2N1
chr1	-	MUL1
chr1	+	FAM43B
chr1	+	CDA
chr1	+	PINK1
chr1	-	DDOST
chr1	-	KIF17
chr1	-	SH2D5
chr1	-	HP1BP3
chr1	-	EIF4G3
chr1	-	ECE1
chr1	+	NBPF3
chr1	+	ALPL
chr1	-	RAP1GAP
chr1	-	USP48
chr1	+	LDLRAD2
chr1	-	HSPG2
chr1	+	CELA3B
chr1	+	CELA3A
chr1	+	CDC42
chr1	-	WNT4
chr1	+	ZBTB40
chr1	+	EPHA8
chr1	+	C1QA
chr1	+	C1QC
chr1	+	C1QB
chr1	+	EPHB2
chr1	-	LACTBL1
chr1	-	TEX46
chr1	+	KDM1A
chr1	-	LUZP1
chr1	-	HTR1D
chr1	-	HNRNPR
chr1	-	ZNF436
chr1	-	TCEA3
chr1	-	ASAP3
chr1	-	E2F2
chr1	-	ID3
chr1	+	RPL11
chr1	+	ELOA
chr1	+	PITHD1
chr1	+	LYPLA2
chr1	-	GALE
chr1	-	HMGCL
chr1	-	FUCA1
chr1	-	CNR2
chr1	+	PNRC2
chr1	-	SRSF10
chr1	-	MYOM3
chr1	-	IL22RA1
chr1	-	IFNLR1
chr1	+	GRHL3
chr1	-	STPG1
chr1	+	NIPAL3
chr1	+	RCAN3
chr1	+	NCMAP
chr1	+	SRRM1
chr1	+	CLIC4
chr1	-	RUNX3
chr1	-	SYF2
chr1	-	RSRP1
chr1	+	RHD
chr1	+	TMEM50A
chr1	-	RHCE
chr1	+	MACO1
chr1	+	LDLRAP1
chr1	+	MAN1C1
chr1	+	SELENON
chr1	+	MTFR1L
chr1	-	AUNIP
chr1	-	PAQR7
chr1	-	STMN1
chr1	-	PAFAH2
chr1	+	EXTL1
chr1	-	SLC30A2
chr1	-	TRIM63
chr1	+	PDIK1L
chr1	+	FAM110D
chr1	-	C1orf232
chr1	+	ZNF593
chr1	+	CNKSR1
chr1	+	CATSPER4
chr1	+	CEP85
chr1	+	SH3BGRL3
chr1	-	UBXN11
chr1	+	CD52
chr1	-	CRYBG2
chr1	-	ZNF683
chr1	+	LIN28A
chr1	+	DHDDS
chr1	+	HMGN2
chr1	+	RPS6KA1
chr1	+	ARID1A
chr1	+	PIGV
chr1	+	ZDHHC18
chr1	+	SFN
chr1	-	GPN2
chr1	-	GPATCH3
chr1	+	NUDC
chr1	-	NR0B2
chr1	-	KDF1
chr1	+	TRNP1
chr1	-	TENT5B
chr1	-	SLC9A1
chr1	+	WDTC1
chr1	+	TMEM222
chr1	+	SYTL1
chr1	-	MAP3K6
chr1	-	FCN3
chr1	-	CD164L2
chr1	+	GPR3
chr1	-	WASF2
chr1	-	AHDC1
chr1	-	FGR
chr1	-	IFI6
chr1	+	FAM76A
chr1	+	STX12
chr1	+	PPP1R8
chr1	+	THEMIS2
chr1	-	RPA2
chr1	+	SMPDL3B
chr1	+	XKR8
chr1	-	EYA3
chr1	-	PTAFR
chr1	-	DNAJC8
chr1	+	ATP5IF1
chr1	+	SESN2
chr1	+	MED18
chr1	+	PHACTR4
chr1	+	RCC1
chr1	+	TRNAU1AP
chr1	+	RAB42
chr1	-	TAF12
chr1	+	GMEB1
chr1	+	YTHDF2
chr1	+	OPRD1
chr1	+	EPB41
chr1	-	TMEM200B
chr1	-	SRSF4
chr1	-	MECR
chr1	+	PTPRU
chr1	-	MATN1
chr1	-	LAPTM5
chr1	-	SDC3
chr1	-	PUM1
chr1	-	NKAIN1
chr1	-	SNRNP40
chr1	+	ZCCHC17
chr1	-	FABP3
chr1	+	SERINC2
chr1	+	TINAGL1
chr1	+	HCRTR1
chr1	-	PEF1
chr1	-	COL16A1
chr1	-	ADGRB2
chr1	-	SPOCD1
chr1	-	PTP4A2
chr1	+	KHDRBS1
chr1	+	TMEM39B
chr1	+	KPNA6
chr1	+	TXLNA
chr1	+	CCDC28B
chr1	-	TMEM234
chr1	+	IQCC
chr1	+	DCDC2B
chr1	+	EIF3I
chr1	+	FAM167B
chr1	+	LCK
chr1	+	HDAC1
chr1	-	MARCKSL1
chr1	+	TSSK3
chr1	-	FAM229A
chr1	-	BSDC1
chr1	+	ZBTB8B
chr1	+	ZBTB8A
chr1	-	ZBTB8OS
chr1	+	RBBP4
chr1	-	SYNC
chr1	+	KIAA1522
chr1	-	YARS1
chr1	+	S100PBP
chr1	-	FNDC5
chr1	+	HPCA
chr1	-	TMEM54
chr1	-	RNF19B
chr1	-	AK2
chr1	+	AZIN2
chr1	-	TRIM62
chr1	+	ZNF362
chr1	-	A3GALT2
chr1	-	PHC2
chr1	+	ZSCAN20
chr1	-	CSMD2
chr1	+	HMGB4
chr1	+	C1orf94
chr1	+	GJB5
chr1	+	GJB4
chr1	+	GJB3
chr1	+	GJA4
chr1	-	SMIM12
chr1	-	DLGAP3
chr1	-	TMEM35B
chr1	-	ZMYM6
chr1	+	ZMYM1
chr1	-	SFPQ
chr1	+	ZMYM4
chr1	-	KIAA0319L
chr1	+	NCDN
chr1	+	TFAP2E
chr1	-	PSMB2
chr1	-	C1orf216
chr1	-	CLSPN
chr1	+	AGO4
chr1	+	AGO1+AGO3
chr1	+	TEKT2
chr1	+	ADPRS
chr1	-	COL8A2
chr1	-	TRAPPC3
chr1	+	MAP7D1
chr1	+	THRAP3
chr1	+	SH3D21
chr1	-	EVA1B
chr1	-	STK40
chr1	-	LSM10
chr1	-	OSCP1
chr1	-	MRPS15
chr1	-	CSF3R
chr1	-	GRIK3
chr1	+	ZC3H12A
chr1	-	MEAF6
chr1	-	SNIP1
chr1	+	DNALI1
chr1	-	GNL2
chr1	-	RSPO1
chr1	-	C1orf109
chr1	+	CDCA8
chr1	-	EPHA10
chr1	+	MANEAL
chr1	-	YRDC
chr1	+	C1orf122
chr1	-	MTF1
chr1	-	INPP5B
chr1	-	SF3A3
chr1	-	FHL3
chr1	+	UTP11
chr1	-	POU3F1
chr1	-	RRAGC
chr1	-	MYCBP
chr1	-	GJA9
chr1	-	RHBDL2
chr1	+	AKIRIN1
chr1	+	NDUFS5
chr1	+	MACF1
chr1	+	KIAA0754
chr1	+	BMP8A
chr1	-	PABPC4
chr1	-	HEYL
chr1	-	NT5C1A
chr1	-	HPCAL4
chr1	+	PPIE
chr1	-	BMP8B
chr1	-	OXCT2
chr1	-	TRIT1
chr1	-	MYCL
chr1	+	MFSD2A
chr1	+	CAP1
chr1	-	PPT1
chr1	+	RLF
chr1	+	TMCO2
chr1	+	ZMPSTE24
chr1	-	COL9A2
chr1	+	SMAP2
chr1	+	ZFP69B
chr1	+	ZFP69
chr1	+	EXO5
chr1	+	ZNF684
chr1	-	RIMS3
chr1	+	NFYC
chr1	+	KCNQ4
chr1	-	CITED4
chr1	+	CTPS1
chr1	-	SLFNL1
chr1	-	SCMH1
chr1	+	FOXO6
chr1	-	EDN2
chr1	-	HIVEP3
chr1	+	GUCA2B
chr1	-	GUCA2A
chr1	-	FOXJ3
chr1	+	RIMKLA
chr1	-	ZMYND12
chr1	+	PPCS+CCDC30
chr1	+	PPIH
chr1	+	YBX1
chr1	-	CLDN19
chr1	-	P3H1
chr1	+	C1orf50
chr1	+	TMEM269
chr1	-	SVBP
chr1	+	ERMAP
chr1	+	ZNF691
chr1	-	SLC2A1
chr1	+	FAM183A
chr1	-	EBNA1BP2
chr1	+	CFAP57
chr1	+	TMEM125
chr1	-	C1orf210
chr1	+	TIE1
chr1	+	MPL
chr1	+	CDC20
chr1	-	ELOVL1
chr1	-	MED8
chr1	+	SZT2
chr1	-	HYI
chr1	+	PTPRF
chr1	+	KDM4A
chr1	+	ST3GAL3
chr1	+	ARTN
chr1	+	IPO13
chr1	+	DPH2
chr1	+	ATP6V0B
chr1	+	B4GALT2
chr1	+	CCDC24
chr1	-	SLC6A9
chr1	+	KLF17
chr1	-	KLF18
chr1	+	DMAP1
chr1	-	ERI3
chr1	+	RNF220
chr1	-	TMEM53
chr1	+	ARMH1
chr1	+	KIF2C
chr1	+	RPS8
chr1	-	BEST4
chr1	+	PLK3
chr1	-	TCTEX1D4
chr1	+	BTBD19
chr1	-	PTCH2
chr1	-	EIF2B3
chr1	-	HECTD3
chr1	+	UROD
chr1	-	ZSWIM5
chr1	+	HPDL
chr1	-	MUTYH
chr1	+	TOE1
chr1	-	TESK2
chr1	-	CCDC163
chr1	+	MMACHC
chr1	-	PRDX1
chr1	+	AKR1A1
chr1	+	NASP
chr1	-	CCDC17
chr1	-	GPBP1L1
chr1	+	TMEM69
chr1	-	IPP
chr1	+	MAST2
chr1	-	P3R3URF+PIK3R3+P3R3URF-PIK3R3
chr1	+	TSPAN1
chr1	-	POMGNT1
chr1	+	LURAP1
chr1	+	RAD54L
chr1	-	LRRC41
chr1	+	UQCRH
chr1	+	NSUN4
chr1	+	FAAH
chr1	+	DMBX1
chr1	-	TMEM275
chr1	-	KNCN
chr1	-	MKNK1
chr1	-	MOB3C
chr1	-	ATPAF1
chr1	+	TEX38
chr1	-	EFCAB14
chr1	+	CYP4B1
chr1	-	CYP4A11
chr1	+	CYP4X1
chr1	+	CYP4Z1
chr1	+	CYP4A22
chr1	-	PDZK1IP1
chr1	-	TAL1
chr1	-	STIL
chr1	+	CMPK1
chr1	+	FOXE3
chr1	+	FOXD2
chr1	-	TRABD2B
chr1	+	SLC5A9
chr1	-	SPATA6
chr1	-	AGBL4
chr1	-	BEND5
chr1	+	ELAVL4
chr1	-	DMRTA2
chr1	-	FAF1
chr1	+	CDKN2C
chr1	+	C1orf185
chr1	+	RNF11
chr1	-	TTC39A
chr1	-	EPS15
chr1	+	OSBPL9
chr1	-	NRDC
chr1	-	RAB3B
chr1	-	TXNDC12
chr1	-	KTI12
chr1	+	BTF3L4
chr1	+	ZFYVE9
chr1	-	CC2D1B
chr1	-	ORC1
chr1	+	PRPF38A
chr1	-	TUT4
chr1	+	GPX7
chr1	+	SHISAL2A
chr1	-	COA7
chr1	+	ZYG11B
chr1	+	ZYG11A
chr1	-	ECHDC2
chr1	+	SCP2
chr1	+	PODN
chr1	-	SLC1A7
chr1	+	CPT2
chr1	-	CZIB
chr1	-	MAGOH
chr1	-	LRP8
chr1	+	DMRTB1
chr1	-	GLIS1
chr1	-	NDC1
chr1	-	YIPF1
chr1	+	DIO1
chr1	-	HSPB11
chr1	+	LRRC42
chr1	-	LDLRAD1
chr1	-	TMEM59
chr1	+	TCEANC2
chr1	-	CDCP2
chr1	-	CYB5RL
chr1	+	MRPL37
chr1	-	SSBP3
chr1	+	ACOT11
chr1	-	FAM151A
chr1	+	MROH7
chr1	+	TTC4
chr1	-	PARS2
chr1	-	TTC22
chr1	+	LEXM
chr1	-	DHCR24
chr1	+	TMEM61
chr1	+	BSND
chr1	+	PCSK9
chr1	-	USP24
chr1	-	PLPP3
chr1	+	PRKAA2
chr1	-	FYB2
chr1	+	C8A
chr1	-	C8B
chr1	-	DAB1+OMA1
chr1	-	TACSTD2
chr1	-	MYSM1
chr1	-	JUN
chr1	+	FGGY
chr1	+	HOOK1
chr1	-	CYP2J2
chr1	-	C1orf87
chr1	+	NFIA
chr1	-	TM2D1
chr1	+	PATJ
chr1	+	L1TD1
chr1	-	KANK4
chr1	+	USP1
chr1	-	DOCK7
chr1	+	ANGPTL3
chr1	+	ATG4C
chr1	+	FOXD3
chr1	+	ALG6
chr1	-	ITGB3BP
chr1	+	EFCAB7
chr1	+	PGM1
chr1	+	ROR1
chr1	+	UBE2U
chr1	+	CACHD1
chr1	+	RAVER2
chr1	-	JAK1
chr1	+	AK4
chr1	+	DNAJC6
chr1	+	LEPROT+LEPR
chr1	+	PDE4B
chr1	+	SGIP1
chr1	+	TCTEX1D1
chr1	-	INSL5
chr1	-	DNAI4
chr1	+	MIER1
chr1	-	SLC35D1
chr1	-	C1orf141
chr1	+	IL23R
chr1	+	IL12RB2
chr1	-	SERBP1
chr1	+	GADD45A
chr1	-	GNG12
chr1	-	DIRAS3
chr1	-	WLS
chr1	-	RPE65
chr1	-	DEPDC1
chr1	+	LRRC7
chr1	-	LRRC40
chr1	+	SRSF11
chr1	-	ANKRD13C
chr1	+	CTH
chr1	-	PTGER3
chr1	-	ZRANB2
chr1	-	NEGR1
chr1	-	LRRIQ3
chr1	+	TNNI3K+FPGT+FPGT-TNNI3K
chr1	-	LRRC53
chr1	-	ERICH3
chr1	-	CRYZ
chr1	+	TYW3
chr1	+	LHX8
chr1	-	SLC44A5
chr1	+	ACADM
chr1	+	RABGGTB
chr1	+	MSH4
chr1	-	ASB17
chr1	+	ST6GALNAC3
chr1	+	ST6GALNAC5
chr1	-	PIGK
chr1	+	AK5
chr1	-	ZZZ3
chr1	-	USP33
chr1	+	MIGA1
chr1	+	NEXN
chr1	-	FUBP1
chr1	+	DNAJB4
chr1	+	GIPC2
chr1	+	PTGFR
chr1	+	IFI44L
chr1	+	IFI44
chr1	-	ADGRL4
chr1	+	ADGRL2
chr1	-	TTLL7
chr1	+	PRKACB
chr1	+	SAMD13
chr1	+	DNASE2B
chr1	+	RPF1
chr1	-	GNG5
chr1	+	SPATA1
chr1	-	CTBS
chr1	-	SSX2IP
chr1	-	LPAR3
chr1	-	MCOLN2
chr1	-	MCOLN3
chr1	+	DNAI3
chr1	-	SYDE2
chr1	-	C1orf52
chr1	-	BCL10
chr1	-	DDAH1
chr1	+	CCN1
chr1	-	ZNHIT6
chr1	-	COL24A1
chr1	-	ODF2L
chr1	+	CLCA2
chr1	+	CLCA1
chr1	+	CLCA4
chr1	+	SH3GLB1
chr1	-	SELENOF
chr1	+	HS2ST1
chr1	+	LMO4
chr1	+	PKN2
chr1	-	GTF2B
chr1	-	RBMXL1+KYAT3
chr1	-	GBP3
chr1	-	GBP1
chr1	-	GBP2
chr1	-	GBP7
chr1	-	GBP4
chr1	-	GBP5
chr1	+	GBP6
chr1	+	LRRC8B
chr1	+	LRRC8C
chr1	+	LRRC8D
chr1	+	ZNF326
chr1	-	BARHL2
chr1	-	ZNF644
chr1	-	HFM1
chr1	+	CDC7
chr1	-	TGFBR3
chr1	+	BRDT
chr1	+	EPHX4
chr1	-	SETSIP
chr1	+	BTBD8
chr1	+	C1orf146
chr1	-	GLMN
chr1	+	RPAP2
chr1	-	GFI1
chr1	-	EVI5
chr1	+	RPL5
chr1	-	DIPK1A
chr1	+	MTF2
chr1	-	TMED5
chr1	+	CCDC18
chr1	+	DR1
chr1	+	FNBP1L
chr1	-	BCAR3
chr1	-	DNTTIP2
chr1	-	GCLM
chr1	-	ABCA4
chr1	-	ARHGAP29
chr1	+	ABCD3
chr1	-	F3
chr1	+	SLC44A3
chr1	-	CNN3
chr1	-	ALG14
chr1	+	RWDD3+TLCD4-RWDD3+TLCD4
chr1	+	PTBP2
chr1	-	DPYD
chr1	+	SNX7
chr1	-	PLPPR5
chr1	+	PLPPR4
chr1	+	PALMD
chr1	-	FRRS1
chr1	+	AGL
chr1	+	SLC35A3
chr1	+	MFSD14A
chr1	-	SASS6
chr1	+	TRMT13
chr1	-	LRRC39
chr1	-	DBT
chr1	+	RTCA
chr1	+	CDC14A
chr1	+	GPR88
chr1	+	VCAM1
chr1	-	EXTL2
chr1	+	SLC30A7
chr1	-	DPH5
chr1	+	S1PR1
chr1	-	OLFM3
chr1	-	COL11A1
chr1	+	AMY2B+RNPC3
chr1	+	AMY2A
chr1	+	AMY1A
chr1	-	AMY1B
chr1	+	AMY1C
chr1	+	PRMT6
chr1	+	NTNG1
chr1	-	VAV3
chr1	-	SLC25A24
chr1	-	NBPF4
chr1	+	NBPF6
chr1	+	FAM102B
chr1	-	HENMT1
chr1	+	PRPF38B
chr1	+	FNDC7
chr1	+	STXBP3
chr1	-	AKNAD1
chr1	+	GPSM2
chr1	-	CLCC1
chr1	-	WDR47
chr1	-	TAF13
chr1	+	TMEM167B
chr1	-	C1orf194
chr1	+	ELAPOR1
chr1	+	SARS1
chr1	+	CELSR2
chr1	-	PSRC1
chr1	-	MYBPHL
chr1	-	SORT1
chr1	-	PSMA5
chr1	+	SYPL2
chr1	+	ATXN7L2
chr1	+	CYB561D1
chr1	-	AMIGO1
chr1	+	GPR61
chr1	+	GNAI3
chr1	-	GNAT2
chr1	+	AMPD2
chr1	+	GSTM4
chr1	+	GSTM2
chr1	+	GSTM1
chr1	+	GSTM5
chr1	-	GSTM3
chr1	-	EPS8L3
chr1	+	CSF1
chr1	+	AHCYL1
chr1	+	STRIP1
chr1	-	ALX3
chr1	+	UBL4B
chr1	+	SLC6A17
chr1	+	KCNC4
chr1	+	RBM15
chr1	-	SLC16A4
chr1	-	LAMTOR5
chr1	+	PROK1
chr1	-	KCNA10
chr1	-	KCNA2
chr1	-	KCNA3
chr1	+	CD53
chr1	-	LRIF1
chr1	-	DRAM2
chr1	+	CEPT1
chr1	-	DENND2D
chr1	+	CHI3L2
chr1	+	CHIA
chr1	+	PIFO
chr1	-	OVGP1
chr1	-	WDR77
chr1	+	C1orf162+ATP5PB
chr1	-	ADORA3+TMIGD3
chr1	+	RAP1A
chr1	-	INKA2
chr1	+	DDX20
chr1	-	KCND3
chr1	+	CTTNBP2NL
chr1	+	WNT2B
chr1	-	ST7L
chr1	+	CAPZA1
chr1	+	MOV10
chr1	-	RHOC
chr1	-	PPM1J
chr1	+	TAFA3
chr1	-	SLC16A1
chr1	+	LRIG2
chr1	+	MAGI3
chr1	-	PHTF1
chr1	-	RSBN1
chr1	-	PTPN22
chr1	-	BCL2L15
chr1	-	AP4B1
chr1	+	DCLRE1B
chr1	+	HIPK1
chr1	+	OLFML3
chr1	-	SYT6
chr1	-	TRIM33
chr1	-	BCAS2
chr1	-	DENND2C
chr1	-	AMPD1
chr1	-	NRAS
chr1	-	CSDE1
chr1	-	SIKE1
chr1	+	SYCP1
chr1	+	TSHB
chr1	-	TSPAN2
chr1	-	NGF
chr1	+	VANGL1
chr1	-	CASQ2
chr1	-	NHLH2
chr1	+	SLC22A15
chr1	+	MAB21L3
chr1	+	ATP1A1
chr1	-	CD58
chr1	-	IGSF3
chr1	+	CD2
chr1	+	CD101+PTGFRN
chr1	+	TTF2
chr1	-	TRIM45
chr1	-	VTCN1
chr1	+	MAN1A2
chr1	+	TENT5C
chr1	-	GDAP2
chr1	+	WDR3
chr1	-	SPAG17
chr1	-	TBX15
chr1	-	WARS2
chr1	+	HAO2
chr1	+	HSD3B2
chr1	+	HSD3B1
chr1	-	ZNF697
chr1	+	PHGDH
chr1	-	HMGCS2
chr1	-	REG4
chr1	-	NBPF7
chr1	-	ADAM30
chr1	-	NOTCH2
chr1	-	SEC22B
chr1	+	NBPF8
chr1	+	NBPF26
chr1	+	PPIAL4A
chr1	-	FAM72B
chr1	+	SRGAP2C
chr1	-	H3-2
chr1	-	FAM72C
chr1	-	PPIAL4E
chr1	-	NBPF15
chr1	+	PPIAL4F
chr1	-	SRGAP2B
chr1	+	FAM72D
chr1	+	LOC101929805
chr1	-	PPIAL4D
chr1	-	NBPF20
chr1	+	GPR89A
chr1	-	PDZK1
chr1	+	CD160
chr1	-	RNF115
chr1	+	POLR3C
chr1	+	NUDT17
chr1	-	PIAS3
chr1	-	ANKRD35
chr1	-	ITGA10
chr1	-	PEX11B
chr1	-	RBM8A
chr1	-	LIX1L
chr1	+	POLR3GL
chr1	-	ANKRD34A
chr1	-	TXNIP
chr1	-	HJV
chr1	-	NBPF10
chr1	-	NOTCH2NLA
chr1	-	PPIAL4H
chr1	+	NBPF12
chr1	-	PRKAB2
chr1	+	CHD1L
chr1	-	FMO5
chr1	+	BCL9
chr1	-	ACP6
chr1	-	GJA5
chr1	+	GJA8
chr1	+	GPR89B
chr1	-	NBPF11
chr1	-	PPIAL4G
chr1	-	NBPF14
chr1	-	NOTCH2NLB
chr1	+	NUDT4B
chr1	+	PDE4DIP
chr1	-	NBPF9
chr1	+	NOTCH2NLC
chr1	+	NBPF19
chr1	+	PPIAL4C
chr1	-	H2BC18
chr1	+	FCGR1A
chr1	-	H3C13
chr1	+	H4C14
chr1	-	H3C14
chr1	-	H2AC18
chr1	+	H2AC19
chr1	+	H3C15
chr1	-	H4C15
chr1	-	H2BC21
chr1	+	H2AC20
chr1	-	H2AC21
chr1	+	BOLA1
chr1	-	SV2A
chr1	-	SF3B4
chr1	-	MTMR11
chr1	-	OTUD7B
chr1	+	VPS45
chr1	+	PLEKHO1
chr1	-	ANP32E
chr1	+	CA14
chr1	-	APH1A
chr1	+	C1orf54
chr1	+	CIART
chr1	+	MRPS21
chr1	+	PRPF3
chr1	+	RPRD2
chr1	+	TARS2
chr1	+	ECM1
chr1	+	ADAMTSL4
chr1	-	MCL1
chr1	-	ENSA
chr1	-	GOLPH3L
chr1	-	HORMAD1
chr1	-	CTSS
chr1	-	CTSK
chr1	-	ARNT
chr1	+	CTXND2
chr1	+	SETDB1
chr1	-	CERS2
chr1	+	ANXA9
chr1	-	MINDY1
chr1	+	PRUNE1
chr1	+	BNIPL
chr1	+	C1orf56
chr1	-	CDC42SE1
chr1	+	MLLT11
chr1	+	GABPB2
chr1	-	SEMA6C
chr1	+	SCNM1+TNFAIP8L2-SCNM1+TNFAIP8L2
chr1	-	LYSMD1
chr1	-	TMOD4
chr1	-	VPS72
chr1	+	PIP5K1A
chr1	+	PSMD4
chr1	+	ZNF687
chr1	-	PI4KB
chr1	-	RFX5
chr1	-	SELENBP1
chr1	+	PSMB4
chr1	-	POGZ
